date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:03:15	155668/155668	---MCZ	200	added ('OK')	text/html	etag:W/%2264ef1fa3-26014%22	https://new.axilthemes.com/demo/template/etrade/index-1.html	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/index-1.html	(from )
11:03:16	22/22	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Oct%202023%2005:33:16%20GMT	https://new.axilthemes.com/robots.txt		(from )
11:03:16	1691/1691	---M--	200	added ('OK')	image/png	etag:%2264ef1fa3-69b%22	https://new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/images/favicon.png	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:16	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%2264ef1fa3-2f955%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/bootstrap.min.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:17	156666/156666	---MCZ	200	added ('OK')	text/css	etag:W/%2264ef1fa3-263fa%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/font-awesome.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:17	3875/3875	---M--	200	added ('OK')	text/css	etag:%2264ef1fa3-f23%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/flaticon/flaticon.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:17	1749/1749	---M--	200	added ('OK')	text/css	etag:%2264ef1fa3-6d5%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:18	3166/3166	---M--	200	added ('OK')	text/css	etag:%2264ef1fa3-c5e%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/slick-theme.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:18	17598/17598	---MCZ	200	added ('OK')	text/css	etag:W/%2264ef1fa3-44be%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/jquery-ui.min.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
11:03:18	7509/7509	---M--	200	added ('OK')	text/css	etag:%2264ef1fa3-1d55%22	https://new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	C:/My%20Web%20Sites/E-commerce/new.axilthemes.com/demo/template/etrade/assets/css/vendor/sal.css	(from https://new.axilthemes.com/demo/template/etrade/index-1.html)
